;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
293;C6H12O6;6;12;6;0;0;C(C1C(C(C(O1)(CO)O)O)O)O;B-D-fructose;c;-672;-302.2
294;C6H12O6;6;12;6;0;0;C(C1C(C(C(C(O1)O)O)O)O)O;D-mannose;c;-672;-301.9
295;C4H9N;4;9;0;1;0;C1CCNC1;pyrrolidine;liq;-673.75;-9.87
296;C5H5N;5;5;0;1;0;C1=CC=NC=C1;pyridine ;g;-674.65;33.61
297;C3H8S ;3;8;0;0;1;CCCS;1-propanethiol ;liq;-675.51;-23.78
298;C4H4S ;4;4;0;0;1;C1=CSC=C1;thiophene ;liq;-675.95;19.24
299;C6H10O5 ;6;10;5;0;0;C1C2C(C(C(C(O1)O2)O)O)O;levoglucosan;c;-676.6;-229.3
300;C5H10O2;5;10;2;0;0;CCCCC(=O)O;valeric acid (pentanoic acid);liq;-678.12;-133.71
301;C4H7N5;4;7;0;5;0;;l-allyI-5-aminotetrazole ;c;-678.7;63.4
302;C5H6N2O;5;6;1;2;0;;pyrrolaldox5me ;c;-678.9;3.7
303;C6H6O2;6;2;2;0;0;C1=CC(=CC(=C1)O)O;resorcinol;c;-681.3;-87.95
304;C6H6O2;6;2;2;0;0;C1=CC(=CC=C1O)O;hydro quinone;c;-681.78;-87.47
305;C4H9N;4;9;0;1;0;C1CCNC1;pyrrolidine ;g;-682.73;-0.89
306;C4H7N5;4;7;0;5;0;;2-allyl-5-aminotetrazole ;c;-682.9;67.6
307;C6H6O2;6;2;2;0;0;C1=CC=C(C(=C1)O)O;pyrocatechol;c;-683;-86.3
308;C4H12N2O3;4;12;3;2;0;;diethylamine nitrate;c;-686;-100.1
309;C4H6N8;4;6;0;8;0;C(CC1=NNN=N1)C2=NNN=N2;1,2-di-(5-tetrazolyl)ethane ;c;-687.3;106.2
310;C4H10;4;10;0;0;0;CCCC;n-butune;g;-687.68;-30.1
311;C4H22N2O6;4;22;6;2;0;C1CNCCN1.O.O.O.O.O.O;piperazine hexahydrate ;c;-690.9;-436.8
312;C6H12N2O5;6;12;5;2;0;C(C(C(=O)NC(CO)C(=O)O)N)O;serylserine;c;-692.4;-281.8
313;C6H10N2O4;6;10;4;2;0;;serine anhydride ;c;-696.4;-209.5
314;C5H10O2;5;10;2;0;0;C(CCO)CC=O;5-hydroxy-1-pentanal;liq;-697.1;-114.7
315;C5H11NO2 ;5;11;2;1;0;CC(C)C(C(=O)O)N;DL- and L-valine ;c;-697.8;-148.2
316;C5H11NO2 ;5;11;2;1;0;CCCCC(=O)ON;o-aminovaleric acid ;c;-701.5;-144.5
317;C5H9NO;5;9;1;1;0;C1CCNC(=O)C1;a-piperidone ;c;-704.4;-73.301
318;C5H8O ;5;8;1;0;0;C1CC=COC1;dihydropyran, 4H ;liq;-706;-37.5
319;C6H10O4 ;6;10;4;0;0;COC(=O)CCC(=O)OC;dimethyl succinate;liq;-706.3;-199.6
320;C4H10N2;4;10;0;2;0;C1CNCCN1;piperazine ;c;-706.88;-10.9
321;C4H5NS ;4;5;0;1;1;CC1=CSC=N1;4-methylthiazole ;liq;-707.18;16.31
322;C5H10O2;5;10;2;0;0;C1CC(OC1)CO;tetrahydrofurfuryl alcohol ;liq;-707.7;-104.1
323;C5H7N3;5;7;0;3;0;C1=CC(=NC(=C1)N)N;2,6-diaminopyridine;c;-707.9;1.5
324;C6H11N3O4;6;11;4;3;0;C(C(=O)NCC(=O)NCC(=O)O)N;diglycylglycine;c;-709.2;-230.8
325;C6H14O6 ;6;14;6;0;0;CC1C(C(C(C(O1)O)O)O)O.O;a-L-rhamnose monohydrate;c;-711;-331.3
326;C6H12O5 ;6;12;5;0;0;CC1C(C(C(C(O1)O)O)O)O;D-fucose;c;-711;-262.7
327;C7H12O7;7;12;7;0;0;C(C(C(C1C(C(C(=O)O1)O)O)O)O)O;D-gluco-D-gulo-heptonic acid-y-Iactone;c;-712.7;-355.6
328;C5H9NO;5;9;1;1;0;CN1CCCC1=O;N-methylpyrrolidone ;liq;-715.3;-62.64
329;C4H11N ;4;11;0;1;0;CC(C)(C)N;tert.-butylamine;liq;-715.97;-35.97
330;C6H12O5 ;6;12;5;0;0;CC1C(C(C(C(O1)O)O)O)O;B-L-rhamnose;c;-717.7;-256.5
331;C4H11N ;4;11;0;1;0;CCC(C)N;sec.-butylamine;liq;-719.07;-32.87
332;C4H11N ;4;11;0;1;0;CC(C)CN;isobutylamine;liq;-720.25;-31.68
333;C6H14O6 ;6;14;6;0;0;C(C(C(C(C(CO)O)O)O)O)O;dulcitol;c;-720.68;-321.83
334;C4H11N ;4;11;0;1;0;CCCCN;n-butylamine;liq;-721.42;-30.52
335;C7H6O3;7;6;3;0;0;C1=CC=C(C(=C1)C(=O)O)O;salicylic acid;c;-722.4;-140.9
336;C6H14O6 ;6;14;6;0;0;C(C(C(C(C(CO)O)O)O)O)O;D-manmtoi;liq;-722.97;-319.54
337;C5H12N2O2 ;5;12;2;2;0;C(CC(C(=O)O)N)CN;DL-ornithine ;c;-724.1;-156
338;C6H10O3 ;6;10;3;0;0;; acetone glyceraldehyde;liq;-726;-180
339;C4H11N ;4;11;0;1;0;CCNCC;diethylamine;liq;-727.2;-24.7
340;C6H6O ;6;6;1;0;0;C1=CC=C(C=C1)O;phenol;c;-729.8;-39.45
341;C4H7N7;4;7;0;7;0;;4-amino-3-azido-5-ethyl-s-triazole ;c;-733.8;118.5
342;C8H8N6O6 ;8;8;6;6;0;C1(=C(NC(=O)NC1=O)[O-])N=C2C(=O)NC(=O)NC2=O.[NH4+]; murexide ;c;-736;-289.7
343;C5H10O ;5;10;1;0;0;CCCC(=O)C;2-pentanone (methyl n propyl ketone);liq;-740.78;-71.05
344;C5H10O ;5;1;1;0;0;CCC(=O)CC;3-pentanone H1OO (diethyl  ketone);liq;-740.96;-70.87
345;C5H10O ;5;10;1;0;0;CCCCC=O;n-valeraldehyde (1- pentanal);liq;-742;-70
346;C6H10O4 ;6;10;4;0;0;;erythritol diformal;c;-744.1;-161.8
347;C6H8O2;6;8;2;0;0;CC=CC=CC(=O)O;sorbic acid;c;-744.2;-93.4
348;C6H4N2;6;4;0;2;0;C1=CC(=CN=C1)C#N;3-cyanopyridine;c;-747.17;46.23
349;C5H10O ;5;10;1;0;0;C1CCOCC1;tetrahydropyran;liq;-750.7;-61.1
350;C4H12N2 ;4;12;0;1;0;CC(C)(CN)N;2-methyl-1,2-propanediamine;liq;-754.09;-32
351;C4H12N2 ;4;12;0;2;0;CCC(CN)N;1,2-butanediamine;liq;-757.35;-28.74
352;C5H10O ;5;10;1;0;0;C1CCOCC1;tetrahydropyran;g;-758.44;-53.39
353;C6H6N4O;6;6;1;4;0;;7 -methylhypoxanthine;c;-759.4;-9.9
354;C4H6N10;4;6;0;10;0;;2,2' -dimethyl-5,5' -azotetra-zole ;c;-761.5;180.3
355;C8H6O4;8;6;4;0;0;C1=CC(=CC=C1C(=O)O)C(=O)O; p-phthalic acid;c;-762.3;-195.05
356;C8H6O4;8;6;4;0;0;C1=CC=C(C(=C1)C(=O)O)C(=O)O;phthalic acid;c;-765.44;-191.91
357;C4H6N10;4;6;0;10;0;;cis-1,.1' -dimethyl-5,5' -azotet-razole ;c;-769.7;188.6
358;C8H6O4;8;6;4;0;0;C1=CC=C(C(=C1)C(=O)O)C(=O)O;phthalic acid;c;-770.44;-186.91
359;C4H6N10;4;6;0;10;0;CN1C(=NN=N1)N=NC2=NN=NN2C;trans-l,l '-dimethyl-5,5 '-azotet-razole ;c;-770.5;189.3
360;C6H10N2O2;6;10;2;2;0;CCC1(C(=O)NC(=O)N1)C;5-methyl-5-ethyl hydantoin;c;-770.9;-135
361;C7H6O2;7;6;2;0;0;C1=CC=C(C=C1)C(=O)O; benzoic acid;c;-771.27;-92.03
362;C4H8S;4;8;0;0;1;C1CCSC1;thiacyclopentane ;liq;-775.95;-17.39
363;C6H10N2O2 ;6;10;2;2;0;CC1C(=O)NC(C(=O)N1)C;alanine anhydride ;c;-777.9;-128
364;C7H10O4;7;10;4;0;0;CC1(C(CC(=O)O1)C(=O)O)C;terebic acid;c;-778;-222
365;C6H6;6;6;0;0;0;C1=CC=CC=C1;benzene;liq;-780.96;11.71
366;C7H14O7;7;14;7;0;0;C(C(C(C(C(C(C=O)O)O)O)O)O)O;D-gluco-a-heptose;c;-783;-353.5
367;C5H9N;5;9;0;1;0;C1CNCC=C1;1,2,5,6-tetrahydropyridine ;liq;-785.7;8
368;C5H12;5;12;0;0;0;C1CCCC1;cyclopentane;liq;-786.55;-25.28
369;C6H6;6;6;0;0;0;C1=CC=CC=C1;benzene;g;-789.06;19.81
370;C6H8N2O3  ;6;8;3;2;0;C1=CC=C(C=C1)N.[N+](=O)(O)[O-];aniline nitrate (c)  ;c;-793.9;-43.7
371;C6H5N3;6;5;0;3;0;C1=CC2=NNN=C2C=C1;benzotriazole ;c;-794.84;59.74
372;C5H12O;5;12;1;0;0;CCCCCO;I-pentanol;liq;-795.8;-84.27
373;C7H10O4 ;7;10;4;0;0;CC(=C(CC(=O)O)C(=O)O)C;tetraconic acid;c;-796;-204
374;C7H6O2 ;7;6;2;0;0;C1=CC=C(C(=C1)C=O)O;salicylaldehyde ;liq;-796.4;-66.9
375;C7H7NO2;7;7;2;1;0;C1=CC(=CC=C1C(=O)O)N;p-aminobenzoic acid ;c;-798.7;-98.8
376;C7H7NO2;7;7;2;1;0;C1=CC(=CC(=C1)N)C(=O)O;m-aminobenzoic acid ;c;-799.3;-98.2
377;C7H12O5;7;12;5;0;0;CC(=O)OCC(COC(=O)C)O;glyceryl-1,3-diacetate;liq;-800;-268.2
378;C7H7NO2;7;7;2;1;0;C1=CC=C(C(=C1)C(=O)O)N;o-aminobenzoic acid ;c;-801.7;-95.8
379;C6H12N2O3;6;12;3;2;0;CCOC(=O)CNC(=O)CN;ethyl glycylglycinate;c;-803.7;-170.5
380;C5H11NO2S;5;11;2;1;1;CSCCC(C(=O)O)N;L-methionine ;c;-809;-180.4
381;C5H11NO2S ;5;11;2;1;1;CSCCC(C(=O)O)N;L-methionine ;c;-809;-180.4
382;C6H12O3 ;6;12;2;0;0;CC1OC(OC(O1)C)C;paraldehyde ;liq;-810;-164.2
383;C6H7N ;6;7;0;1;0;C1=CC=C(C=C1)N;aniline ;liq;-810.96;7.55
384;C6H12O3;6;12;3;0;0;CC1(OCC(O1)CO)C;acetone glycerol;c;-811;-163
385;C6H7N;6;7;0;1;0;CC1=CC=NC=C1;4-methylpyridine ;liq;-816.99;13.58
386;C6H7N;6;7;0;1;0;CC1=CC=CC=N1;2-methylpyridine ;liq;-817.24;13.83
387;C6H7N;6;7;0;1;0;CC1=CN=CC=C1;3-methylpyridine ;liq;-818.98;15.57
388;C6H6N4;6;6;0;4;0;CN1C=NC2=NC=NC=C21;7-methylpurine;c;-820.6;51.3
389;C3H8S2 ;3;8;0;0;2;C(CS)CS;1,3-propanedithiol ;liq;-824.34;-18.83
390;C5H11N;5;11;0;1;0;C1CCNCC1;piperidine ;liq;-824.94;-21.05
391;C6H7N;6;7;0;1;0;CC1=CC=CC=N1;2-methylpyridine ;g;-827.46;24.05
392;C6H7N;6;7;0;1;0;CC1=CC=NC=C1;4-methylpyridine ;g;-827.85;24.44
393;C5H6S ;5;6;0;0;1;CC1=CSC=C1;3-methylthiophene ;liq;-829.46;10.38
394;C6H7N;6;7;0;1;0;CC1=CN=CC=C1;3-methylpyridine;g;-829.71;26.3
395;C5H6S ;5;6;0;0;1;S1C=CC=C1C;2-methylthiophene  ;liq;-829.83;10.75
396;C4H10S ;4;10;0;0;1;CCCCS;1-butanethiol ;liq;-831.97;-29.69
397;C6H12O2;6;12;2;0;0;O=C(O)CCCCC;caproic acid (hexanoic acid);liq;-834.49;-139
398;C7H16O7 ;7;16;7;0;0;C(C(C(C(C(C(CO)O)O)O)O)O)O;D-perseitol ;c;-835;-369.7
399;C8H14O8;8;14;8;0;0;;D-gluco-a,a-octonic acid-y-lactone;c;-836.4;-394.2
400;C5H12;5;12;0;0;0;CCCCC;n-pentane;liq;-838.78;-41.37
401;C7H10O7;7;10;7;0;0;;D.gluco-a-heptite;c;-840;-364.5
402;C7H14O6;7;14;6;0;0;COC1C(C(C(C(O1)CO)O)O)O;B-methyl-D-glucopyranoside;c;-840.8;-295.8
403;C8H6O3;8;6;3;0;0;C1=CC=C(C=C1)C(=O)C(=O)O;phenylglyoxylic acid;c;-842.1;-115.3
404;C7H6O ;7;6;1;0;0;C1=CC=C(C=C1)C=O;benzaldehyde ;liq;-843.2;-20.1
405;C5H12;5;12;0;0;0;CCCCC;n-pentane;g;-845.16;-34.99
406;C7H8N4O2;7;8;2;4;0;CN1C=NC2=C1C(=O)NC(=O)N2C;theobromine;c;-845.2;-86.4
407;C7H7NO;7;7;1;1;0;C1=CC=C(C=C1)C(=O)N;benzamide;c;-849.04;-48.42
408;C7H14O6 ;7;14;6;0;0;COC1C(C(C(C(O1)CO)O)O)O;B-methyl-D-glucofuranoside;liq;-849.1;-287.5
409;C6H12O2;6;12;2;0;0;CCCCC(=O)OC;methyl valerate;liq;-851.31;-122.89
410;C6H13NO2 ;6;13;2;1;0;C(CCC(=O)O)CCN;y-aminocaproic acid ;c;-853.9;-154.5
411;C6H13NO2 ;6;13;2;1;0;C(CCC(=O)O)CCN;o-aminocaproic. acid ;c;-854.6;-153.7
412;C6H13NO2 ;6;13;2;1;0;CCCCC(C(=O)O)N;a-aminocaproic acid (norleucine)  ;c;-855.6;-152.7
413;C6H13NO2 ;6;13;2;1;0;C(CCC(=O)O)CCN;e-aminocaproic acid;c;-855.6;-152.7
414;C6H13NO2 ;6;13;2;1;0;CC(C)CC(C(=O)O)N;DL-Ieucine ;c;-855.62;-152.74
415;C6H13NO2 ;6;13;2;1;0;CC(C)CC(C(=O)O)N;L-Ieucine;c;-856.39;-151.97
416;C6H13NO2 ;6;13;2;1;0;CC(C)CC(C(=O)O)N;D-Ieucine ;c;-856.39;-151.97
417;C6H13NO2 ;6;13;2;1;0;CCC(C)C(C(=O)O)N;DL- and L-isoleucine ;c;-856.5;-151.8
418;C8H5NO2 ;8;5;2;1;0;C1=CC=C2C(=C1)C(=O)C(=O)N2;isatin ;c;-860.5;-62.7
419;C7H7NO;7;7;1;1;0;C1=CC=C(C=C1)NC=O;formanilide;c;-861.2;-36.2
420;C6H11NO;6;11;1;1;0;C1CCC(=O)NCC1;e-caprolactam;c;-861.4;-78.6
421;C7H12O4 ;7;12;4;0;0;COC(=O)CCCC(=O)OC;dimethyl glutarate;liq;-862.3;-205.9
422;C6H11NO;6;11;1;1;0;CN1CCCCC1=O;N-methyl piperidone ;liq;-870.04;-70
423;C6H14N2O2;6;14;2;2;0;C(CCN)CC(C(=O)O)N;DL-Iysine ;c;-880.3;-162.2
424;C7H13NO3 ;7;13;3;1;0;CC(C)CC(C(=O)O)NC=O;N-formyl-DL-leucine;c;-880.3;-222.1
425;C7H8O ;7;8;1;0;0;CC1=CC=CC=C1O;o-cresol;c;-882.72;-48.9
426;C7H8O ;7;8;1;0;0;CC1=CC=C(C=C1)O;p-cresol;c;-883.99;-47.63
427;C7H8O ;7;8;1;0;0;CC1=CC(=CC=C1)O;m-cresol;c;-885.25;-46.37
428;C8H8O3;8;8;3;0;0;C1=CC=C(C=C1)C(C(=O)O)O;L-mandelic acid;c;-886.9;-138
429;C8H8O3;8;8;3;0;0;C1=CC=C(C=C1)C(C(=O)O)O;DL-mandelic acid;c;-887.2;-138
430;C7H6N4O;7;6;1;4;0;C1=CC=C(C=C1)N2C(=O)NN=N2;1-phenyl-5-hydroxytetrazole ;c;-890;26.7
431;C6H14N4O2;6;14;2;4;0;C(CC(C(=O)O)N)CN=C(N)N;L-arginine;c;-893.85;-148.66
432;C8H8O3 ;8;8;3;0;0;COC(=O)C1=CC=CC=C1O;methyl salicylate;liq;-898.6;-127.1
433;C8H8O3;8;8;3;0;0;C1=CC=C(C=C1)OCC(=O)O;CaRsOs phenoxyacetic acid;c;-902.9;-122
434;C8H7NO2 ;8;7;2;1;0;;dioxin dole ;c;-914.6;-76.9
435;C8H8N2O2;8;8;2;2;0;C1=CC=C(C(=C1)C(=O)N)C(=O)N;phthalamide;c;-921.3;-104.4
436;C6H6S ;6;6;0;0;1;C1=CC=C(C=C1)S;benzenethiol;liq;-928.45;15.32
437;C5H10S ;5;10;0;0;1;C1CCSCC1;thiacyclohexane ;liq;-930.38;-25.33
438;C8H8O2;8;8;2;0;0;C1=CC=C(C=C1)CC(=O)O;phenylacetic acid;c;-930.4;-95.3
439;C7H8N4;7;8;0;4;0;C1=CC=C(C=C1)C2NNN=N2;5-phenyltetnizole ;c;-933.3;70
440;C7H7N;7;7;0;1;0;C=CC1=CC=CC=N1;2-vinylpyridine ;liq;-934.7;37.2
441;C7H14N2O3;7;14;3;2;0;CC(C)C(C(=O)O)NC(=O)CN;glycylvaline;c;-936.6;-200
442;C6H12;6;12;0;0;0;C1CCCCC1;cyclohexane;liq;-936.87;-37.33
443;C8H8O2 ;8;8;2;0;0;COC(=O)C1=CC=CC=C1;methyl benzoate ;liq;-945.9;-79.8
444;C8H14N4O5;8;14;5;4;0;C(C(=O)NCC(=O)NCC(=O)NCC(=O)O)N;triglycylglycine;c;-945.9;-284.7
445;C7H12N2O2 ;7;12;2;2;0;;glycylvalyl anhydride ;c;-947.7;-120.5
446;C7H6N4;7;6;0;4;0;C1=CC=C(C=C1)N2C=NN=N2;1-phenyltetrazole ;c;-949.8;86.5
447;C8H7NO ;8;7;1;1;0;C1C2=CC=CC=C2NC1=O;oxindole ;c;-950.3;-41.2
448;C6H14N6O6;6;14;6;6;0;C1N2CN3CN1CN(C2)C3.[N+](=O)(O)[O-].[N+](=O)(O)[O-];hexamethylenetetramine dinitrate;c;-953.9;88.6
449;C8H9NO2 ;8;9;2;1;0;O=C(O)C(N)C=1C=CC=CC1;a-phenyl glycine;c;-956.6;-103.2
450;C6H10O4S2 ;6;10;2;0;2;;,B,,B' -dithiodilactic acid ;liq;-962.7;-230.9
451;C8H9NO2 ;8;9;2;1;0;C1=CC=C(C=C1)NCC(=O)O;N-phenyl glycine ;c;-963.6;-96.2
452;C7H9N;7;9;0;1;0;CCC1=CC=CC=N1;2-ethylpyridine ;liq;-964.6;-1.2
453;C7H9N;7;9;0;1;0;CC1=NC(=CC=C1)C;2,6-dimethylpyridine ;liq;-968.8;3.02
454;C7H9N;7;9;0;1;0;CC1=CC(=NC=C1)C;2,4-dimethylpyridine ;liq;-969.63;3.85
455;C7H9N;7;9;0;1;0;CC1=C(C=NC=C1)C;3,4-dimethylpyridine ;liq;-970.14;4.36
456;C7H9N;7;9;0;1;0;CC1=CN=C(C=C1)C;2,5-dimethylpyridine ;liq;-970.23;4.45
457;C7H7N5;7;7;0;5;0;C1=CC=C(C=C1)NC2=NNN=N2;5-phenylaminotetrazole;c;-970.4;72.9
458;C7H9N;7;9;0;1;0;CC1=C(N=CC=C1)C;2,3-dimethylpyridine ;liq;-970.4;4.62
459;C6H12N2;6;12;0;2;0;C1CN2CCN1CC2;triethylenediamine;c;-970.8;-3.4
460;C7H9N;7;9;0;1;0;CC1=CC(=CN=C1)C;3,5-dimethylpyridine ;liq;-971.14;5.36
461;C7H7N5;7;7;0;5;0;C1=CC=C(C=C1)N2C(=NN=N2)N;1-phenyl-5-aminotetrazole;c;-971.8;74.3
462;C7H9N;7;9;0;1;0;CNC1=CC=CC=C1;N-methylaniline (liq)  ;liq;-973;7.7
463;C4H10S2;4;10;0;0;2;C(CCS)CS;1,4-butanedithioI;liq;-980.42;-25.11
464;C8H12N2O3 ;8;12;3;2;0;CCC1(C(=O)NC(=O)NC1=O)CC;diethylbarbituric acid (veronal)  ;c;-983.6;-178
465;C5H12S ;5;12;0;0;1;CCCCCS;1-pentanethiol ;liq;-988.3;-35.72
466;C7H14O2;7;14;2;0;0;CCCCCCC(=O)O;enanthic acid (heptanoic acid);liq;-990.81;-145
467;C6H14;6;14;0;0;0;CCCCCC;n-hexane;liq;-995.01;-47.5
468;C6H12N4;6;12;0;4;0;C1N2CN3CN1CN(C2)C3;hexamethylenetetramine;c;-1002.9;28.7
469;C9H14O6;9;14;6;0;0;CC(=O)OCC(COC(=O)C)OC(=O)C;glyceryl triacetate;liq;-1006.4;-318.3
470;C7H14O2;7;14;2;0;0;CCCCCC(=O)OC;methyl caproate;liq;-1007.46;-129.1
471;C9H9NO3 ;9;9;3;1;0;C1=CC=C(C=C1)C(=O)NCC(=O)O;hippuric acid;c;-1008.25;-145.63
472;C8H9NO;8;9;1;1;0;CC(=O)NC1=CC=CC=C1;acetanilide;c;-1009.5;-50.3
473;C9H10O4;9;10;4;0;0;C1=CC=C(C=C1)C(CO)(C(=O)O)O;DL-phenylglyceric acid;c;-1009.5;-178
474;C7H13NO2;7;13;2;1;0;C(CCCN)CCC(=O)O;~-aminoenanthylic acid ;c;-1011.1;-159.6
475;C6H16N2O3;6;16;3;2;0;CCN(CC)CC.[N+](=O)(O)[O-];triethylamine nitrate;c;-1011.9;-98.9
476; C7H13NO;7;13;1;1;0;CC1CCC(=O)NCC1; 5-methylcaprolactam ;c;-1015.5;-86.9
477; C7H13NO ;7;13;1;1;0;CC1CCCCC(=O)N1; 7-methylcaprolactam ;c;-1015.9;-86.5
478;C6H12N2O4S2;6;12;2;4;2;C(C(C(=O)O)N)SSCC(C(=O)O)N;L-cystine ;c;-1016.3;-245.7
479;C6H12N2O4S2 ;6;12;4;2;2;C(C(C(=O)O)N)SSCC(C(=O)O)N;L-cystine;c;-1016.3;-245.7
480;C8H10N4O2 ;8;10;2;4;0;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;caffeine (methyl theo bromine);c;-1017.8;-76.2
481;C8H14O4 ;8;14;4;0;0;COC(=O)CCCCC(=O)OC;dimethyl adipate ;liq;-1018.7;-211.9
482;C7H13NO ;7;13;1;1;0;C1CCCNC(=O)CC1;-enantholactam ;c;-1019.2;-83.2
483;C8H7N ;8;7;0;1;0;C1=CC=C2C(=C1)C=CN2;indole ;c;-1021.3;29.8
484;C7H13NO;7;13;1;1;0;CN1CCCCCC1=O;. N-methylcaprolactam ;liq;-1029.1;-73.3
485;C8H10O ;8;10;1;0;0;CCC1=CC=C(C=C1)O;4-ethylphenol;c;-1040.35;-53.63
486;C8H10O ;8;10;1;0;0;CCC1=CC(=CC=C1)O;3-ethylphenol;c;-1042.77;-51.21
487;C8H10O ;8;10;1;0;0;CCC1=CC=CC=C1O;2-ethylphenol;c;-1044.07;-49.91
488; C6H15N ;6;15;0;1;0;CCN(CC)CC;triethylamine;liq;-1044.6;-32.1
489;C8H14O4 ;8;14;4;0;0;CC(=O)C(CCCO)(C(=O)C)O;erythritol diacetal;c;-1049;-182
490;C9H11NO3;9;11;3;1;0;C1=CC(=CC=C1CC(C(=O)O)N)O;L-tyrosine ;c;-1058.8;-163.4
491;C7H14O ;7;14;1;0;0;CCCCCCC=O;n-heptaldehyde ;liq;-1062.2;-74.4
492;C6H10N10;6;10;0;10;0;;2,2' -diethyl-5,5' -azotetrazole ;c;-1062.5;156.6
493;C9H7NO ;9;7;1;1;0;C1=CC2=C(C(=C1)O)N=CC=C2;8-hydroxyquinoline ;c;-1065.7;-19.9
494;C10H16N2O8 ;10;16;8;2;0;O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O;ethylenediaminetetraacetic  acid;c;-1066.5;-420.5
495;C9H14O6 ;9;14;6;0;0;;mannitol triformal;c;-1083;-242
496;C8H6N6 ;8;6;0;6;0;;3-azido-5-phenyl-s-triazole ;c;-1084.5;127.1
497;C7H8S ;7;8;0;0;1;C1=CC=C(C=C1)CS;benzyl mercaptan ;liq;-1086;10.4
498;C7H8S ;7;8;0;0;1;CSC1=CC=CC=C1;phenyl methyl sulfide ;liq;-1087;-11.5
499;C9H16N2O5;9;16;5;2;0;;J3-carhethoxyglycylglycine ethyl ester;c;-1089.5;-303.5
500;C8H8N4;8;8;0;4;0;CC1=NN=NN1C2=CC=CC=C2;2-phenyl-5-methyltetrazole ;c;-1091.3;65.7
501;C8H16N2O3;8;16;3;2;0;;DL-Ieucylglycine;c;-1093.86;-205.7
502;C8H8N4;8;8;0;4;0;CC1=NN=NN1C2=CC=CC=C2;2-phenyl-5-methyltetrazole ;c;-1095.6;69.9
503;C7H14;7;14;0;0;0;C1CCCCCC1;cycloheptane ;liq;-1099.09;-37.47
504;C8H14N2O2 ;8;14;2;2;0;;valylalanyl anhydride ;c;-1107.3;-123.3
505;C9H11NO2 ;9;11;2;1;0;O=C(O)C(N)CC=1C=CC=CC1;DL- and L-phenylalanine;c;-1110.3;-111.9
506;C10H10O4;10;10;4;0;0;COC(=O)C1=CC(=CC=C1)C(=O)OC;dimethyl m-phthalate;c;-1111;-171
507;C10H10O4;10;10;4;0;0;COC(=O)C1=CC=C(C=C1)C(=O)OC;dimethyl p-phthalate;c;-1112;-170
508;C9H8N2O ;9;8;1;2;0;;di-a-pyrrylketone ;c;-1115;-4.7
509;C10H9NO3 ;10;9;3;1;0;;phenylalanine-N-carboxylic  acid anhydride ;c;-1115.6;-132.3
510;C9H16N2O5;9;16;5;2;0;;a-carbethoxyglycyl glycine ethyl ester;c;-1117.7;-275.3
511;C7H11N5 ;7;11;0;5;0;;l-allyl-5-allylaminotetrazole ;c;-1117.8;83.7
512;C7H11N5 ;7;11;0;5;0;;5-diallylaminotetrazole ;c;-1118;83.9
513;C10H10O4;10;10;4;0;0;COC(=O)C1=CC=CC=C1C(=O)OC;dimethyl o-phthalate;liq;-1120;162
514;C9H7N ;9;7;0;1;0;C1=CC=C2C(=C1)C=CC=N2;quinoline;liq;-1122.9;37.3
515;C9H7N ;9;7;0;1;0;C1=CC=C2C=NC=CC2=C1;isoquinoline ;c;-1123.5;37.9
516;C10H8N2O2 ;10;8;2;2;0;C1=CC=C(C=C1)N2C=CC(=O)NC2=O;4-phenyl uracil ;c;-1132.1;-81.7
517;C10H11NO4;10;11;4;1;0;;anisoyl glycine ;c;-1135.3;-180.9
518;C8H11N ;8;11;0;1;0;C=1C=CC(=CC1)N(C)C;N ,N-dimethylaniline;liq;-1136.3;8.2
519;C6H14S ;6;14;0;0;1;CCCCCCS;I-hexanethiol ;liq;-1144.5;-41.84
520;C8H16O2;8;16;2;0;0;CCCCCCCC(=O)O;caprylic acid (octanoic acid);liq;-1147;-151.93
521;C8H7N7 ;8;7;0;7;0;;4-amino-3-azido-5-phenyl-s triazole ;c;-1151;159.5
522;C8H16O2;8;16;2;0;0;CCCCCCC(=O)OC;methyl enanthate;liq;-1163.4;-135.53
523;C10H12O4;10;12;4;0;0;;glyceryl-1-benzoate;c;-1164.61;-185.8
524;C10H11NO3;10;11;3;1;0;C1=CC=C(C=C1)CC(=O)NCC(=O)O;phenaceturic acid;c;-1165.2;-151
525;C10H12O4;10;12;4;0;0;;glyceryl-2-benzoate;c;-1165.69;-184.71
526;C10H11NO3;10;11;3;1;0;O=C(O)CNC(=O)C1=CC=C(C=C1)C;m-toluyl glycine ;c;-1167.4;-148.8
527;C10H11NO3;10;11;3;1;0;O=C(O)CNC(=O)C1=CC=C(C=C1)C;p-toluyl glycine ;c;-1167.7;-148.5
528;C10H11NO3;10;11;3;1;0;O=C(O)CNC(=O)C1=CC=C(C=C1)C;o-toluyl glycine ;c;-1167.9;-148.3
529;C10H11NO3;10;11;3;1;0;CC(C(=O)O)NC(=O)C1=CC=CC=C1;DL-benzoylalanine;c;-1168.3;-147.9
530;C9H9N ;9;9;0;1;0;CN1C=CC2=CC=CC=C21;a-methylindole ;c;-1168.4;14.5
531;C9H9N ;9;9;0;1;0;CC1=CNC2=CC=CC=C12;skatole ;c;-1170.2;16.3
