;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
682;C23H31NO10;23;31;10;1;0;CN(C)CCC1=CC2=C(C(=C1CC(=O)C3=C(C(=C(C=C3)OC)OC)C(=O)O)OC)OCO2.O.O;narceine dihydrate;c;-2800.9;-421.2
683;C19H32;19;32;0;0;0;CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O; 5a-androstane;c;-2805;-78
684;C19H36O2;19;36;2;0;0;CCCCCCCCC=CCCCCCCCC(=O)OC;methyl elaidate;liq;-2840.8;-175.8
685;C19H36O2;19;36;2;0;0;CCCCCCCCC=CCCCCCCCC(=O)OC;methyl oleate;liq;-2842.4;-174.2
686;C21H30O2;21;30;2;0;0;CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C;A4-pregnene-3 ,20-dione (progesterone);c;-2868;-132
687;C21H30O3;21;30;3;0;0;CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C;A4-pregnene-3 ,20-dione-21-ol (desoxycorticosterone or cortexone);c;-2876;-124
688;C23H26N2O4 ;23;26;4;2;0;COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC;brucine;c;-2932.7;-118.6
689;C20H40O2;20;40;2;0;0;O=C(O)CCCCCCCCCCCCCCCCCCC; arachidic acid (eicosanoic  acid)  ;c;-3005.5;-241.82
690;C20H40O2;20;40;2;0;0;O=C(O)CCCCCCCCCCCCCCCCCCC;arachidic acid (eico sanoic acid);liq;-3022.7;-224.6
691;C28H38O19 ;28;38;19;0;0;CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;lactose octaacetate;c;-3025.4;-906
692;C24H24N2O3 ;24;24;3;2;0;;anisine;c;-3026;-51
693;C28H38O19 ;28;38;19;0;0;CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;maltose octaacetate;c;-3026.9;-904.5
694;C28H38O19 ;28;38;19;0;0;CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;cellobiose octaacetate;c;-3028.9;-902.5
695;C28H38O19 ;28;38;19;0;0;CC(=O)OCC1C(C(C(C(O1)OC2(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;sucrose octaacetate;c;-3029.5;-901.9
696;C21H42O4 ;21;42;4;0;0;CCCCCCCCCCCCCCCCCC(=O)OC(CO)CO;glyceryl-1-stearate;c;-3090.05;-319.64
697;C21H42O4 ;21;42;4;0;0;CCCCCCCCCCCCCCCC(=O)OC(CO)CO;glyceryl-2-stearate;c;-3093.89;-315.8
698;C22H44O4;22;44;4;0;0;CCCCCCCCC(C(CCCCCCCCCCCC(=O)O)O)O;13 ,14-dihydroxybehenic acid;c;-3235;-337
699;C22H42O2 ;22;42;2;0;0;CCCCCCCCC=CCCCCCCCCCCCC(=O)O;brassidic acid;c;-3290;-214
700;C22H42O2 ;22;42;2;0;0;CCCCCCCCC=CCCCCCCCCCCCC(=O)O;erucic acid;c;-3297;-207
701;C22H44O2;22;44;2;0;0;O=C(O)CCCCCCCCCCCCCCCCCCCCC;behenic acid (docosanoic  acid) ;c;-3337;-2351
